venta_id,fecha,cliente_id,producto_id,cantidad,precio_unitario,total_venta
121,2025-01-01,28.0,2,1,5200000,5200000
158,2025-01-01,8.0,4,2,180000,360000
25,2025-01-03,22.0,13,1,38000,38000
98,2025-01-04,34.0,1,1,2800000,2800000
78,2025-01-04,3.0,10,5,890000,4450000
174,2025-01-05,28.0,20,4,68000,272000
94,2025-01-06,11.0,20,1,68000,68000
64,2025-01-06,13.0,5,4,650000,2600000
24,2025-01-07,24.0,6,4,1450000,5800000
5,2025-01-08,7.0,19,3,14000,42000
220,2025-01-10,23.0,6,5,1450000,7250000
133,2025-01-10,32.0,10,2,890000,1780000
137,2025-01-13,3.0,17,3,210000,630000
46,2025-01-13,29.0,2,1,5200000,5200000
21,2025-01-14,34.0,5,5,650000,3250000
187,2025-01-14,33.0,11,4,320000,1280000
15,2025-01-14,5.0,5,4,650000,2600000
33,2025-01-15,14.0,18,5,25000,125000
207,2025-01-15,9.0,6,1,1450000,1450000
117,2025-01-20,33.0,3,5,45000,225000
192,2025-01-23,3.0,9,5,620000,3100000
44,2025-01-25,23.0,1,2,2800000,5600000
48,2025-01-25,32.0,16,5,260000,1300000
107,2025-01-26,29.0,8,1,95000,95000
2,2025-01-26,15.0,2,3,5200000,15600000
36,2025-01-28,15.0,17,3,210000,630000
16,2025-01-28,28.0,1,4,2800000,11200000
89,2025-01-31,26.0,4,5,180000,900000
57,2025-02-03,30.0,3,2,45000,90000
157,2025-02-04,20.0,17,3,210000,630000
92,2025-02-05,32.0,2,1,5200000,5200000
213,2025-02-07,7.0,22,5,62000,310000
125,2025-02-07,30.0,4,3,180000,540000
147,2025-02-07,29.0,13,5,38000,190000
38,2025-02-08,26.0,5,5,650000,3250000
201,2025-02-08,2.0,10,4,890000,3560000
90,2025-02-09,32.0,16,5,260000,1300000
62,2025-02-11,1.0,22,4,62000,248000
181,2025-02-11,30.0,21,3,75000,225000
206,2025-02-11,33.0,5,5,650000,3250000
120,2025-02-16,11.0,10,3,890000,2670000
13,2025-02-25,8.0,22,4,62000,248000
161,2025-03-01,17.0,19,1,14000,14000
103,2025-03-03,33.0,12,1,280000,280000
177,2025-03-03,19.0,21,5,75000,375000
193,2025-03-04,18.0,10,2,890000,1780000
204,2025-03-08,26.0,2,5,5200000,26000000
50,2025-03-08,22.0,13,1,38000,38000
49,2025-03-09,7.0,8,3,95000,285000
151,2025-03-10,16.0,17,4,210000,840000
76,2025-03-11,12.0,1,4,2800000,11200000
97,2025-03-16,5.0,3,2,45000,90000
156,2025-03-17,21.0,19,3,14000,42000
17,2025-03-19,7.0,8,5,95000,475000
176,2025-03-19,5.0,4,2,180000,360000
61,2025-03-24,33.0,5,2,650000,1300000
140,2025-03-25,33.0,4,1,180000,180000
218,2025-03-27,14.0,4,1,180000,180000
41,2025-03-27,32.0,12,3,280000,840000
179,2025-03-30,17.0,7,5,480000,2400000
182,2025-03-30,29.0,10,3,890000,2670000
122,2025-03-31,25.0,19,5,14000,70000
148,2025-04-04,18.0,3,2,45000,90000
102,2025-04-04,16.0,5,5,650000,3250000
83,2025-04-05,23.0,20,5,68000,340000
149,2025-04-05,18.0,9,3,620000,1860000
214,2025-04-07,20.0,20,3,68000,204000
63,2025-04-11,27.0,14,2,95000,190000
143,2025-04-11,8.0,7,3,480000,1440000
186,2025-04-14,31.0,3,4,45000,180000
199,2025-04-14,22.0,13,5,38000,190000
200,2025-04-14,23.0,8,2,95000,190000
52,2025-04-19,2.0,1,4,2800000,11200000
26,2025-04-21,27.0,20,1,68000,68000
58,2025-04-21,11.0,12,4,280000,1120000
54,2025-04-21,28.0,7,4,480000,1920000
56,2025-04-21,20.0,22,5,62000,310000
208,2025-04-21,29.0,19,4,14000,56000
77,2025-04-22,2.0,5,5,650000,3250000
6,2025-04-23,9.0,22,2,62000,124000
118,2025-04-23,18.0,17,2,210000,420000
112,2025-04-28,3.0,12,5,280000,1400000
101,2025-04-28,11.0,11,1,320000,320000
35,2025-04-29,9.0,19,5,14000,70000
190,2025-05-05,23.0,15,3,130000,390000
42,2025-05-06,,21,4,75000,300000
12,2025-05-07,,15,2,130000,260000
139,2025-05-10,24.0,16,4,260000,1040000
178,2025-05-12,4.0,16,2,260000,520000
110,2025-05-13,19.0,12,1,280000,280000
203,2025-05-14,2.0,18,5,25000,125000
100,2025-05-14,22.0,19,3,14000,42000
86,2025-05-17,1.0,1,2,2800000,5600000
155,2025-05-17,14.0,13,2,38000,76000
135,2025-05-18,19.0,9,2,620000,1240000
127,2025-05-19,16.0,18,5,25000,125000
119,2025-05-20,1.0,8,2,95000,190000
123,2025-05-22,23.0,9,1,620000,620000
194,2025-05-23,25.0,12,5,280000,1400000
45,2025-05-25,15.0,15,1,130000,130000
196,2025-05-25,3.0,6,3,1450000,4350000
53,2025-05-26,6.0,16,2,260000,520000
73,2025-05-30,32.0,21,5,75000,375000
84,2025-06-01,32.0,10,1,890000,890000
195,2025-06-02,31.0,17,2,210000,420000
20,2025-06-03,12.0,12,3,280000,840000
209,2025-06-06,26.0,8,2,95000,190000
212,2025-06-06,13.0,1,2,2800000,5600000
131,2025-06-10,12.0,21,2,75000,150000
173,2025-06-14,33.0,12,4,280000,1120000
138,2025-06-17,20.0,3,2,45000,90000
136,2025-06-21,16.0,3,3,45000,135000
108,2025-06-22,3.0,10,5,890000,4450000
132,2025-06-27,5.0,4,4,180000,720000
205,2025-06-28,17.0,5,1,650000,650000
189,2025-06-28,32.0,18,3,25000,75000
65,2025-06-29,3.0,15,4,130000,520000
9,2025-06-29,,20,3,68000,204000
22,2025-07-06,33.0,7,4,480000,1920000
34,2025-07-11,27.0,10,5,890000,4450000
104,2025-07-13,9.0,3,2,45000,90000
217,2025-07-15,16.0,13,1,38000,38000
75,2025-07-17,24.0,4,5,180000,900000
202,2025-07-17,27.0,9,2,620000,1240000
37,2025-07-21,15.0,19,4,14000,56000
106,2025-07-22,16.0,1,3,2800000,8400000
10,2025-07-26,24.0,10,5,890000,4450000
47,2025-07-31,13.0,22,1,62000,62000
115,2025-07-31,32.0,19,5,14000,70000
172,2025-08-01,30.0,3,1,45000,45000
14,2025-08-02,33.0,11,2,320000,640000
18,2025-08-04,9.0,21,1,75000,75000
96,2025-08-08,24.0,18,5,25000,125000
93,2025-08-11,4.0,17,2,210000,420000
197,2025-08-13,24.0,7,3,480000,1440000
116,2025-08-13,7.0,18,5,25000,125000
68,2025-08-14,27.0,20,4,68000,272000
32,2025-08-15,26.0,13,5,38000,190000
55,2025-08-16,28.0,5,4,650000,2600000
167,2025-08-17,8.0,19,5,14000,70000
91,2025-08-17,6.0,16,1,260000,260000
71,2025-08-17,24.0,16,1,260000,260000
211,2025-08-19,24.0,13,1,38000,38000
40,2025-08-19,32.0,9,3,620000,1860000
51,2025-08-21,28.0,21,3,75000,225000
60,2025-08-24,25.0,19,2,14000,28000
153,2025-08-24,4.0,16,2,260000,520000
180,2025-08-25,28.0,13,3,38000,114000
27,2025-08-26,1.0,15,1,130000,130000
29,2025-08-27,3.0,8,2,95000,190000
88,2025-08-31,2.0,13,3,38000,114000
87,2025-09-04,19.0,5,2,650000,1300000
8,2025-09-10,1.0,17,3,210000,630000
216,2025-09-11,8.0,7,2,480000,960000
4,2025-09-14,25.0,22,4,62000,248000
130,2025-09-16,1.0,4,1,180000,180000
134,2025-09-18,9.0,5,2,650000,1300000
59,2025-09-21,28.0,16,4,260000,1040000
146,2025-09-22,25.0,17,5,210000,1050000
165,2025-09-24,22.0,14,1,95000,95000
168,2025-09-27,27.0,15,4,130000,520000
39,2025-09-30,,21,4,75000,300000
145,2025-09-30,25.0,12,1,280000,280000
30,2025-10-01,1.0,20,4,68000,272000
114,2025-10-02,20.0,2,5,5200000,26000000
74,2025-10-04,32.0,7,4,480000,1920000
66,2025-10-09,6.0,17,5,210000,1050000
170,2025-10-13,34.0,21,1,75000,75000
188,2025-10-15,21.0,11,1,320000,320000
215,2025-10-16,1.0,17,1,210000,210000
72,2025-10-16,15.0,16,1,260000,260000
210,2025-10-16,25.0,16,2,260000,520000
171,2025-10-18,21.0,5,2,650000,1300000
3,2025-10-19,1.0,2,5,5200000,26000000
126,2025-10-20,7.0,21,5,75000,375000
31,2025-10-21,5.0,16,5,260000,1300000
185,2025-10-22,29.0,5,3,650000,1950000
183,2025-10-23,6.0,7,3,480000,1440000
159,2025-10-23,7.0,12,4,280000,1120000
109,2025-10-27,20.0,11,4,320000,1280000
43,2025-10-27,30.0,1,1,2800000,2800000
11,2025-10-30,11.0,6,5,1450000,7250000
150,2025-11-01,2.0,17,3,210000,630000
198,2025-11-05,32.0,14,5,95000,475000
85,2025-11-07,33.0,19,2,14000,28000
23,2025-11-08,23.0,4,1,180000,180000
69,2025-11-11,9.0,5,3,650000,1950000
169,2025-11-12,27.0,16,2,260000,520000
81,2025-11-14,2.0,4,2,180000,360000
152,2025-11-14,33.0,20,2,68000,136000
142,2025-11-15,11.0,17,5,210000,1050000
124,2025-11-16,31.0,7,1,480000,480000
67,2025-11-16,8.0,14,1,95000,95000
162,2025-11-16,33.0,12,4,280000,1120000
160,2025-11-16,3.0,9,1,620000,620000
141,2025-11-17,24.0,18,4,25000,100000
219,2025-11-18,12.0,4,3,180000,540000
95,2025-11-18,17.0,12,3,280000,840000
113,2025-11-20,19.0,14,3,95000,285000
111,2025-11-22,26.0,13,5,38000,190000
184,2025-11-24,24.0,14,1,95000,95000
164,2025-11-24,22.0,7,3,480000,1440000
144,2025-11-25,20.0,5,1,650000,650000
80,2025-11-27,2.0,5,5,650000,3250000
129,2025-11-29,2.0,11,1,320000,320000
154,2025-11-30,33.0,22,2,62000,124000
99,2025-12-01,6.0,1,3,2800000,8400000
105,2025-12-01,6.0,1,1,2800000,2800000
1,2025-12-03,29.0,15,4,130000,520000
175,2025-12-05,33.0,21,5,75000,375000
163,2025-12-15,12.0,9,2,620000,1240000
82,2025-12-16,28.0,2,3,5200000,15600000
79,2025-12-16,17.0,22,3,62000,186000
191,2025-12-19,33.0,12,3,280000,840000
7,2025-12-21,24.0,22,2,62000,124000
128,2025-12-22,26.0,13,4,38000,152000
166,2025-12-27,30.0,20,5,68000,340000
28,2025-12-29,14.0,3,5,45000,225000
19,2025-12-31,8.0,12,1,280000,280000
70,2025-12-31,33.0,12,1,280000,280000
